Date,Description,Status,Amount
2025-08-03,Coffee,Posted,-4.75
2025-08-05,Book Store,Posted,-12.99
2025-08-12,Restaurants,Posted,-62.48
2025-08-15,Gas Station,Processing,-34.1
2025-08-18,Online Order,Posted,-129.99
2025-08-20,StorageMart,Posted,-132.97
2025-08-23,Mobile Payment,Posted,-54.12
2025-08-24,McAllen Convention Ctr,Posted,-6.0
2025-08-24,El Grano De Oro 4 LLC,Posted,-5.06
2025-08-26,Apple.com/Bill,Posted,-2.99
2025-08-28,Big Purchase,Posted,-199.99
2025-08-31,Cashback Bonus,Posted,8.43
